,'NBC10','NBC11','NBC12','NBC13','NBC14','NBC15','NBC16','NBC1','NBC2','NBC3','NBC4','NBC5','NBC6','NBC7','NBC8','NBC9'
'NBC10',0,0.97152543,1.278733,1.4741849,0.72287947,1.2788122,1.5560719,0.5163502,0.6209765,1.3666193,0.39205733,0.9604655,1.0372978,0.57364875,0.6686014,1.3760902
'NBC11',0.97152543,0,1.3366388,1.2893227,0.35853034,1.2657793,1.8422735,0.6183789,0.57265025,1.3439132,0.8243416,0.507527,0.92853904,0.58695644,0.5389944,1.1803576
'NBC12',1.278733,1.3366388,0,0.74903774,0.77852714,0.99685276,1.0646865,1.3125904,1.3295901,0.4506327,1.3891164,1.1199794,0.57092553,1.3244721,1.2748768,0.70123124
'NBC13',1.4741849,1.2893227,0.74903774,0,0.72017974,1.0677983,1.3138204,1.4210355,1.2112701,0.7841491,1.319958,1.1357229,0.7121105,1.2893492,1.3130366,0.89987695
'NBC14',0.72287947,0.35853034,0.77852714,0.72017974,0,0.7487515,1.1352457,0.36190024,0.38471138,0.8767078,0.5362544,0.56848747,0.51428705,0.3857747,0.36606872,0.80096704
'NBC15',1.2788122,1.2657793,0.99685276,1.0677983,0.7487515,0,0.79556054,1.0112991,1.303136,0.8691526,1.2983978,1.2894683,0.9438839,1.3896779,1.2365975,1.1702212
'NBC16',1.5560719,1.8422735,1.0646865,1.3138204,1.1352457,0.79556054,0,1.4681288,1.9379249,0.9654063,1.9522741,1.5257158,1.2877376,1.8541579,1.8270816,1.4878179
'NBC1',0.5163502,0.6183789,1.3125904,1.4210355,0.36190024,1.0112991,1.4681288,0,0.38263774,1.2812065,0.4176243,0.6355945,1.0648358,0.34053728,0.4735537,1.440414
'NBC2',0.6209765,0.57265025,1.3295901,1.2112701,0.38471138,1.303136,1.9379249,0.38263774,0,1.3459796,0.45856276,0.6008726,0.96830153,0.24664544,0.3400591,1.2815781
'NBC3',1.3666193,1.3439132,0.4506327,0.7841491,0.8767078,0.8691526,0.9654063,1.2812065,1.3459796,0,1.3972694,1.1885015,0.6535033,1.3619173,1.3495195,0.738421
'NBC4',0.39205733,0.8243416,1.3891164,1.319958,0.5362544,1.2983978,1.9522741,0.4176243,0.45856276,1.3972694,0,0.8741028,0.9989464,0.46992153,0.5629958,1.359419
'NBC5',0.9604655,0.507527,1.1199794,1.1357229,0.56848747,1.2894683,1.5257158,0.6355945,0.6008726,1.1885015,0.8741028,0,0.9915953,0.5544904,0.5717221,1.1092584
'NBC6',1.0372978,0.92853904,0.57092553,0.7121105,0.51428705,0.9438839,1.2877376,1.0648358,0.96830153,0.6535033,0.9989464,0.9915953,0,1.0277116,0.91903657,0.52055395
'NBC7',0.57364875,0.58695644,1.3244721,1.2893492,0.3857747,1.3896779,1.8541579,0.34053728,0.24664544,1.3619173,0.46992153,0.5544904,1.0277116,0,0.33514398,1.3668065
'NBC8',0.6686014,0.5389944,1.2748768,1.3130366,0.36606872,1.2365975,1.8270816,0.4735537,0.3400591,1.3495195,0.5629958,0.5717221,0.91903657,0.33514398,0,1.1469764
'NBC9',1.3760902,1.1803576,0.70123124,0.89987695,0.80096704,1.1702212,1.4878179,1.440414,1.2815781,0.738421,1.359419,1.1092584,0.52055395,1.3668065,1.1469764,0
