,'NBC10','NBC11','NBC12','NBC13','NBC14','NBC15','NBC16','NBC1','NBC2','NBC3','NBC4','NBC5','NBC6','NBC7','NBC8','NBC9'
'NBC10',0,0.96666664,0.21666667,0.65833336,0.95,0.80833334,0.925,0.5083333,0.59166664,0.45833334,0.325,0.8,0.875,0.55833334,0.425,0.8666667
'NBC11',0.96666664,0,0.175,0.71666664,0.9916667,0.98333335,0.975,0.49166667,0.94166666,0.69166666,0.8333333,0.41666666,0.9583333,0.64166665,0.7416667,0.89166665
'NBC12',0.21666667,0.175,0,0.09166667,0.225,0.20833333,0.29166666,0.008333334,0.31666666,0,0.06666667,0.016666668,0.05,0.13333334,0.075,0.083333336
'NBC13',0.65833336,0.71666664,0.09166667,0,0.76666665,0.68333334,0.7,0.125,0.56666666,0.3,0.40833333,0.35,0.18333334,0.19166666,0.24166666,0.33333334
'NBC14',0.95,0.9916667,0.225,0.76666665,0,0.7083333,0.775,0.15833333,0.85,0.84166664,0.7583333,0.6333333,0.825,0.44166666,0.45,0.93333334
'NBC15',0.80833334,0.98333335,0.20833333,0.68333334,0.7083333,0,0.55,0.34166667,0.9166667,0.5,0.475,0.6666667,0.7916667,0.48333332,0.65,0.8833333
'NBC16',0.925,0.975,0.29166666,0.7,0.775,0.55,0,0.525,0.9,0.85833335,0.6,0.675,0.78333336,0.6166667,0.60833335,0.90833336
'NBC1',0.5083333,0.49166667,0.008333334,0.125,0.15833333,0.34166667,0.525,0,0.275,0.575,0.041666668,0.23333333,0.108333334,0.033333335,0.1,0.16666667
'NBC2',0.59166664,0.94166666,0.31666666,0.56666666,0.85,0.9166667,0.9,0.275,0,0.725,0.625,0.38333333,0.75,0.058333334,0.11666667,0.81666666
'NBC3',0.45833334,0.69166666,0,0.3,0.84166664,0.5,0.85833335,0.575,0.725,0,0.28333333,0.15,0.43333334,0.36666667,0.35833332,0.30833334
'NBC4',0.325,0.8333333,0.06666667,0.40833333,0.7583333,0.475,0.6,0.041666668,0.625,0.28333333,0,0.375,0.53333336,0.14166667,0.2,0.51666665
'NBC5',0.8,0.41666666,0.016666668,0.35,0.6333333,0.6666667,0.675,0.23333333,0.38333333,0.15,0.375,0,0.5416667,0.25833333,0.25,0.4
'NBC6',0.875,0.9583333,0.05,0.18333334,0.825,0.7916667,0.78333336,0.108333334,0.75,0.43333334,0.53333336,0.5416667,0,0.26666668,0.46666667,0.5833333
'NBC7',0.55833334,0.64166665,0.13333334,0.19166666,0.44166666,0.48333332,0.6166667,0.033333335,0.058333334,0.36666667,0.14166667,0.25833333,0.26666668,0,0.025,0.39166668
'NBC8',0.425,0.7416667,0.075,0.24166666,0.45,0.65,0.60833335,0.1,0.11666667,0.35833332,0.2,0.25,0.46666667,0.025,0,0.73333335
'NBC9',0.8666667,0.89166665,0.083333336,0.33333334,0.93333334,0.8833333,0.90833336,0.16666667,0.81666666,0.30833334,0.51666665,0.4,0.5833333,0.39166668,0.73333335,0
