,'NBC10','NBC11','NBC12','NBC13','NBC14','NBC15','NBC16','NBC1','NBC2','NBC3','NBC4','NBC5','NBC6','NBC7','NBC8','NBC9'
'NBC10',0,1.0788661,0.9368397,1.1341671,1.1566788,1.2831428,1.2323248,1.4173442,1.2972126,1.2988462,0.7751778,0.98453695,0.8854272,1.2833781,1.3869438,1.7551394
'NBC11',1.0788661,0,1.1390989,1.0838733,1.0254637,0.99503446,1.0668643,1.4279431,1.1162935,1.2941431,1.0344396,0.8154734,1.0470186,1.2364658,1.229438,1.8173282
'NBC12',0.9368397,1.1390989,0,0.9455225,1.0203047,1.305311,1.2092198,1.3039774,1.1927791,1.1610595,1.037772,0.9892603,0.93771815,1.14497,1.275388,1.5075698
'NBC13',1.1341671,1.0838733,0.9455225,0,1.1414995,0.9211547,1.0629369,1.1629025,0.91503567,1.1188204,1.0447602,0.92250884,1.0833879,0.97600216,0.9485247,1.5067958
'NBC14',1.1566788,1.0254637,1.0203047,1.1414995,0,1.0489612,0.7963373,1.5793363,1.2256169,1.3467711,1.0555444,0.87229854,0.9900485,1.4051417,1.292246,1.7938759
'NBC15',1.2831428,0.99503446,1.305311,0.9211547,1.0489612,0,0.96133405,1.2737924,0.92417514,1.1808338,1.0624139,0.9690329,1.2571764,1.1194825,0.9697034,1.6289886
'NBC16',1.2323248,1.0668643,1.2092198,1.0629369,0.7963373,0.96133405,0,1.4669265,1.1614252,1.3123771,1.0824592,0.9533921,1.1601818,1.3949779,1.2340269,1.7495847
'NBC1',1.4173442,1.4279431,1.3039774,1.1629025,1.5793363,1.2737924,1.4669265,0,0.6633376,0.74601716,1.2403206,1.2182368,1.4128025,0.65359604,0.7013564,1.1752857
'NBC2',1.2972126,1.1162935,1.1927791,0.91503567,1.2256169,0.92417514,1.1614252,0.6633376,0,0.72026074,1.1123036,0.92608815,1.1640738,0.67848563,0.44257832,1.2905903
'NBC3',1.2988462,1.2941431,1.1610595,1.1188204,1.3467711,1.1808338,1.3123771,0.74601716,0.72026074,0,1.1284708,1.1342132,1.1155185,0.7388242,0.73061556,1.0456197
'NBC4',0.7751778,1.0344396,1.037772,1.0447602,1.0555444,1.0624139,1.0824592,1.2403206,1.1123036,1.1284708,0,0.71432805,0.7710727,1.2428466,1.1983008,1.7056996
'NBC5',0.98453695,0.8154734,0.9892603,0.92250884,0.87229854,0.9690329,0.9533921,1.2182368,0.92608815,1.1342132,0.71432805,0,0.73791987,1.1864216,1.0225351,1.694087
'NBC6',0.8854272,1.0470186,0.93771815,1.0833879,0.9900485,1.2571764,1.1601818,1.4128025,1.1640738,1.1155185,0.7710727,0.73791987,0,1.3088609,1.2176497,1.702406
'NBC7',1.2833781,1.2364658,1.14497,0.97600216,1.4051417,1.1194825,1.3949779,0.65359604,0.67848563,0.7388242,1.2428466,1.1864216,1.3088609,0,0.66210973,1.1233159
'NBC8',1.3869438,1.229438,1.275388,0.9485247,1.292246,0.9697034,1.2340269,0.7013564,0.44257832,0.73061556,1.1983008,1.0225351,1.2176497,0.66210973,0,1.2739679
'NBC9',1.7551394,1.8173282,1.5075698,1.5067958,1.7938759,1.6289886,1.7495847,1.1752857,1.2905903,1.0456197,1.7056996,1.694087,1.702406,1.1233159,1.2739679,0
