,'NBC10','NBC11','NBC12','NBC13','NBC14','NBC15','NBC16','NBC1','NBC2','NBC3','NBC4','NBC5','NBC6','NBC7','NBC8','NBC9'
'NBC10',0,0.68333334,0.775,0.85,0.81666666,0.90833336,0.64166665,0.375,0.48333332,0.76666665,0.275,0.20833333,0.23333333,0.94166666,0.575,0.89166665
'NBC11',0.68333334,0,0.9583333,0.73333335,0.8333333,0.78333336,0.71666664,0.34166667,0.6,0.7416667,0.38333333,0.175,0.41666666,0.95,0.45833334,0.925
'NBC12',0.775,0.9583333,0,0.84166664,0.8666667,0.9,0.725,0.425,0.65833336,0.7083333,0.40833333,0.24166666,0.31666666,0.98333335,0.59166664,0.7583333
'NBC13',0.85,0.73333335,0.84166664,0,0.75,0.85833335,0.69166666,0.39166668,0.5833333,0.6333333,0.33333334,0.25,0.35,0.8833333,0.55,0.9166667
'NBC14',0.81666666,0.8333333,0.8666667,0.75,0,0.8,0.46666667,0.5083333,0.625,0.6666667,0.325,0.15833333,0.35833332,0.96666664,0.55833334,0.93333334
'NBC15',0.90833336,0.78333336,0.9,0.85833335,0.8,0,0.56666666,0.5416667,0.7,0.825,0.475,0.2,0.6166667,0.975,0.3,0.9916667
'NBC16',0.64166665,0.71666664,0.725,0.69166666,0.46666667,0.56666666,0,0.36666667,0.44166666,0.53333336,0.25833333,0.11666667,0.28333333,0.7916667,0.43333334,0.80833334
'NBC1',0.375,0.34166667,0.425,0.39166668,0.5083333,0.5416667,0.36666667,0,0.075,0.13333334,0.083333336,0,0.05,0.30833334,0.041666668,0.21666667
'NBC2',0.48333332,0.6,0.65833336,0.5833333,0.625,0.7,0.44166666,0.075,0,0.26666668,0.1,0.058333334,0.108333334,0.4,0.016666668,0.65
'NBC3',0.76666665,0.7416667,0.7083333,0.6333333,0.6666667,0.825,0.53333336,0.13333334,0.26666668,0,0.14166667,0.09166667,0.16666667,0.675,0.18333334,0.60833335
'NBC4',0.275,0.38333333,0.40833333,0.33333334,0.325,0.475,0.25833333,0.083333336,0.1,0.14166667,0,0.008333334,0.033333335,0.525,0.125,0.5
'NBC5',0.20833333,0.175,0.24166666,0.25,0.15833333,0.2,0.11666667,0,0.058333334,0.09166667,0.008333334,0,0.025,0.29166666,0.06666667,0.19166666
'NBC6',0.23333333,0.41666666,0.31666666,0.35,0.35833332,0.6166667,0.28333333,0.05,0.108333334,0.16666667,0.033333335,0.025,0,0.45,0.225,0.49166667
'NBC7',0.94166666,0.95,0.98333335,0.8833333,0.96666664,0.975,0.7916667,0.30833334,0.4,0.675,0.525,0.29166666,0.45,0,0.15,0.875
'NBC8',0.575,0.45833334,0.59166664,0.55,0.55833334,0.3,0.43333334,0.041666668,0.016666668,0.18333334,0.125,0.06666667,0.225,0.15,0,0.51666665
'NBC9',0.89166665,0.925,0.7583333,0.9166667,0.93333334,0.9916667,0.80833334,0.21666667,0.65,0.60833335,0.5,0.19166666,0.49166667,0.875,0.51666665,0
