,'10','11','12','13','14','15','16','1','2','3','4','5','6','7','8','9'
'10',0,1.3707781,1.3128781,0.9395938,0.9518752,0.99462837,0.8547533,1.177004,1.0644941,1.1841451,0.83508253,1.1709559,0.97138745,1.0118359,1.1879572,0.93245804
'11',1.3707781,0,1.2183937,1.3763907,1.216117,1.2652171,1.3466973,1.3850483,1.1908386,1.2050328,1.4256264,0.90221184,1.2669832,1.284278,1.4181178,1.1683489
'12',1.3128781,1.2183937,0,1.4413009,1.2940087,1.282556,1.3404381,1.2961165,1.4619044,1.082301,1.4356934,1.1893249,1.2455245,1.2844088,1.2355042,1.1281861
'13',0.9395938,1.3763907,1.4413009,0,0.81968,0.73893374,0.6624954,1.1238971,0.8974091,1.2073145,0.77686554,1.0818847,0.78581554,0.956297,1.0212429,1.0524865
'14',0.9518752,1.216117,1.2940087,0.81968,0,0.76122904,0.66631395,1.2524151,0.6845449,1.2388723,0.9039082,0.85881597,0.8809867,0.85575384,1.1597049,1.132427
'15',0.99462837,1.2652171,1.282556,0.73893374,0.76122904,0,0.5724182,1.0461451,0.95740587,1.0284598,0.9846987,0.9883943,0.7128946,0.76993257,0.8957989,0.9655328
'16',0.8547533,1.3466973,1.3404381,0.6624954,0.66631395,0.5724182,0,1.1553149,0.8779865,1.1485091,0.8685265,0.94405603,0.6730888,0.8475333,0.92099106,0.96351296
'1',1.177004,1.3850483,1.2961165,1.1238971,1.2524151,1.0461451,1.1553149,0,1.3426795,1.1686648,1.3308734,1.3581687,1.0992423,0.8420624,1.0332464,0.98034525
'2',1.0644941,1.1908386,1.4619044,0.8974091,0.6845449,0.95740587,0.8779865,1.3426795,0,1.1615442,0.9302234,0.7169331,0.8274453,0.837805,1.0726672,1.1000364
'3',1.1841451,1.2050328,1.082301,1.2073145,1.2388723,1.0284598,1.1485091,1.1686648,1.1615442,0,1.1276786,1.1090634,0.8841607,1.141931,1.1264088,0.9703126
'4',0.83508253,1.4256264,1.4356934,0.77686554,0.9039082,0.9846987,0.8685265,1.3308734,0.9302234,1.1276786,0,1.0411382,0.77527374,1.1163212,1.3488964,1.046356
'5',1.1709559,0.90221184,1.1893249,1.0818847,0.85881597,0.9883943,0.94405603,1.3581687,0.7169331,1.1090634,1.0411382,0,0.90142375,1.0372957,1.2949084,1.0702835
'6',0.97138745,1.2669832,1.2455245,0.78581554,0.8809867,0.7128946,0.6730888,1.0992423,0.8274453,0.8841607,0.77527374,0.90142375,0,0.8452494,0.8457827,0.7623695
'7',1.0118359,1.284278,1.2844088,0.956297,0.85575384,0.76993257,0.8475333,0.8420624,0.837805,1.141931,1.1163212,1.0372957,0.8452494,0,0.9499273,0.8739968
'8',1.1879572,1.4181178,1.2355042,1.0212429,1.1597049,0.8957989,0.92099106,1.0332464,1.0726672,1.1264088,1.3488964,1.2949084,0.8457827,0.9499273,0,0.9227293
'9',0.93245804,1.1683489,1.1281861,1.0524865,1.132427,0.9655328,0.96351296,0.98034525,1.1000364,0.9703126,1.046356,1.0702835,0.7623695,0.8739968,0.9227293,0
