,'10','11','12','13','14','15','16','1','2','3','4','5','6','7','8','9'
'10',0,0.15833333,0.20833333,0.25833333,0.19166666,0.058333334,0.05,0.008333334,0.24166666,0.2,0.075,0.21666667,0.033333335,0,0.18333334,0.1
'11',0.15833333,0,0.7,0.9916667,0.675,0.5833333,0.55833334,0.31666666,0.89166665,0.7083333,0.93333334,0.7416667,0.45833334,0.3,0.95,0.45
'12',0.20833333,0.7,0,0.9583333,0.68333334,0.575,0.8,0.23333333,0.9166667,0.4,0.85,0.75,0.65,0.5083333,0.96666664,0.5
'13',0.25833333,0.9916667,0.9583333,0,0.90833336,0.49166667,0.30833334,0.48333332,0.775,0.81666666,0.825,0.8833333,0.475,0.25,0.875,0.7916667
'14',0.19166666,0.675,0.68333334,0.90833336,0,0.36666667,0.28333333,0.29166666,0.6666667,0.625,0.84166664,0.8666667,0.425,0.225,0.94166666,0.55
'15',0.058333334,0.5833333,0.575,0.49166667,0.36666667,0,0.15,0.041666668,0.6166667,0.5416667,0.44166666,0.38333333,0.125,0.083333336,0.76666665,0.175
'16',0.05,0.55833334,0.8,0.30833334,0.28333333,0.15,0,0.11666667,0.59166664,0.7583333,0.6,0.73333335,0.13333334,0.06666667,0.71666664,0.35833332
'1',0.008333334,0.31666666,0.23333333,0.48333332,0.29166666,0.041666668,0.11666667,0,0.46666667,0.14166667,0.40833333,0.375,0.09166667,0.016666668,0.275,0.025
'2',0.24166666,0.89166665,0.9166667,0.775,0.6666667,0.6166667,0.59166664,0.46666667,0,0.64166665,0.8333333,0.85833335,0.51666665,0.41666666,0.725,0.65833336
'3',0.2,0.7083333,0.4,0.81666666,0.625,0.5416667,0.7583333,0.14166667,0.64166665,0,0.78333336,0.80833334,0.60833335,0.43333334,0.925,0.26666668
'4',0.075,0.93333334,0.85,0.825,0.84166664,0.44166666,0.6,0.40833333,0.8333333,0.78333336,0,0.9,0.35,0.325,0.98333335,0.69166666
'5',0.21666667,0.7416667,0.75,0.8833333,0.8666667,0.38333333,0.73333335,0.375,0.85833335,0.80833334,0.9,0,0.53333336,0.33333334,0.975,0.6333333
'6',0.033333335,0.45833334,0.65,0.475,0.425,0.125,0.13333334,0.09166667,0.51666665,0.60833335,0.35,0.53333336,0,0.108333334,0.525,0.34166667
'7',0,0.3,0.5083333,0.25,0.225,0.083333336,0.06666667,0.016666668,0.41666666,0.43333334,0.325,0.33333334,0.108333334,0,0.39166668,0.16666667
'8',0.18333334,0.95,0.96666664,0.875,0.94166666,0.76666665,0.71666664,0.275,0.725,0.925,0.98333335,0.975,0.525,0.39166668,0,0.56666666
'9',0.1,0.45,0.5,0.7916667,0.55,0.175,0.35833332,0.025,0.65833336,0.26666668,0.69166666,0.6333333,0.34166667,0.16666667,0.56666666,0
